Date,CROX Order,CROX Adj Close,CVLG Order,CVLG Adj Close,CZR Order,CZR Adj Close,FOXA Order,FOXA Adj Close,GIII Order,GIII Adj Close,NFLX Order,NFLX Adj Close,NVDA Order,NVDA Adj Close,TEAM Order,TEAM Adj Close,TSLA Order,TSLA Adj Close
2021/7/30,1,135.809998,0,21.01,0,87.360001,0,35.429127,0,29.860001,0,517.570007,1,194.955627,1,325.119995,1,687.200012
2021/8/2,0,136.639999,1,20.540001,1,86.5,0,35.409256,1,29.76,0,515.150024,0,197.465179,-1,322.579987,-1,709.669983
2021/8/3,0,137.089996,0,21.110001,-1,86.779999,1,34.803207,-1,30.24,1,510.820007,0,198.115051,1,329.420013,1,709.73999
2021/8/4,0,140.429993,-1,20.42,0,84.989998,0,34.683983,1,29.040001,-1,517.349976,0,202.704254,-1,340.440002,0,710.919983
2021/8/5,0,141.910004,1,20.280001,0,90.5,-1,36.969093,0,29.459999,0,524.890015,0,206.333603,1,342.429993,-1,714.630005
2021/8/6,0,140.809998,-1,20.27,1,90.5,1,36.24382,-1,29.719999,1,520.549988,0,203.6241,0,334.51001,1,699.099976
2021/8/9,0,140.690002,1,21.639999,-1,90.839996,0,36.273624,1,28.6,0,519.969971,0,202.914215,-1,335.839996,0,713.76001
2021/8/10,0,141.309998,-1,22.26,1,90.57,-1,36.740582,-1,29.75,-1,515.840027,0,199.324844,0,327.519989,-1,709.98999
2021/8/11,0,142.199997,1,22.139999,0,92.949997,1,37.227409,0,30.290001,0,512.400024,0,196.955276,1,332.559998,1,707.820007
2021/8/12,0,144.080002,0,22.15,0,93.760002,0,36.790257,1,30.059999,0,510.720001,0,199.014908,0,338.040009,-1,722.25
2021/8/13,0,146.589996,0,22.08,-1,91.019997,-1,36.760452,-1,29.950001,1,515.919983,0,201.844406,0,337.940002,0,717.169983
2021/8/16,0,146.449997,0,22.48,0,87.400002,1,36.949223,1,29.629999,0,517.919983,0,199.464828,-1,334.019989,1,686.169983
2021/8/17,0,138.75,-1,22.68,0,84.110001,0,36.740582,0,29.209999,-1,518.909973,0,194.5457,1,336.730011,-1,665.710022
2021/8/18,0,140.199997,1,22.23,0,85.010002,-1,36.323303,0,29.4,0,521.869995,-1,190.366425,0,337.730011,0,688.98999
2021/8/19,0,139.169998,0,21.969999,0,82.470001,1,35.945763,-1,29.41,1,543.710022,1,197.945084,0,334.559998,1,673.469971
2021/8/20,0,141.929993,0,22.57,0,85.639999,0,36.522003,0,30.1,0,546.880005,0,208.123306,-1,346,-1,680.26001
2021/8/23,0,142.869995,-1,22.889999,1,89.279999,-1,36.899544,0,30.58,0,553.330017,0,219.54129,1,352.48999,0,706.299988
2021/8/24,0,145.059998,1,22.91,-1,93.860001,1,36.829998,0,31.379999,-1,553.409973,0,217.891571,0,353.890015,1,708.48999
2021/8/25,0,143.809998,0,22.700001,1,97.699997,0,36.800194,0,31.309999,0,547.580017,0,222.090836,0,353.410004,-1,711.200012
2021/8/26,0,143.100006,0,22.42,0,99.989998,-1,36.442524,1,30.27,1,550.119995,0,220.641083,0,349.98999,0,701.159973
2021/8/27,0,146.089996,0,23.059999,0,104.239998,1,36.95916,-1,31.68,0,558.919983,0,226.320084,0,358.339996,1,711.919983
2021/8/30,0,146.399994,-1,24.790001,0,102.120003,0,36.829998,0,31.049999,-1,566.179993,0,226.839996,0,366.029999,-1,730.909973
2021/8/31,0,142.820007,0,24.360001,-1,101.629997,-1,37.439999,0,30.93,1,569.190002,0,223.850006,0,367.059998,1,735.719971
2021/9/1,0,143.360001,1,24.18,1,101.889999,1,37,0,32.560001,0,582.070007,0,224.410004,0,371.700012,-1,734.090027
2021/9/2,0,138.570007,-1,24.389999,-1,103.5,0,37.169998,0,32.700001,0,588.549988,0,223.960007,0,376,0,732.390015
2021/9/3,0,139.690002,1,23.82,1,103.559998,-1,36.889999,1,32.029999,-1,590.530029,0,228.429993,0,384.589996,1,733.570007
2021/9/7,0,136.279999,0,23.280001,0,107.080002,1,36.75,0,31.280001,1,606.710022,0,226.619995,0,381.690002,-1,752.919983
2021/9/8,0,138.960007,0,22.83,0,105.889999,0,35.959999,0,29.530001,0,606.049988,0,223.389999,0,381.75,0,753.869995
2021/9/9,0,141.529999,0,22.540001,-1,106.589996,-1,36.360001,0,30.07,0,597.539978,0,221.770004,0,378.839996,1,754.859985
2021/9/10,0,144.110001,0,22.41,1,104.190002,1,35.939999,0,29.280001,-1,598.719971,0,224.779999,0,379.970001,-1,736.27002
2021/9/13,0,137.720001,0,23.48,0,104.339996,0,36.34,0,29.110001,1,589.289978,0,221.520004,0,376.709991,0,743
2021/9/14,-1,149.380005,-1,22.67,-1,103.07,-1,35.299999,0,29.049999,0,577.76001,0,222.419998,0,389.390015,1,744.48999
2021/9/15,0,153.679993,1,23.049999,1,107.330002,1,36.560001,0,29.049999,-1,582.869995,0,223.410004,0,394.529999,-1,755.830017
2021/9/16,1,157.820007,-1,22.360001,0,108.57,0,37.330002,0,28.530001,0,586.5,0,222.419998,0,403.910004,0,756.98999
2021/9/17,0,155.179993,1,23.299999,-1,106.07,-1,37.709999,0,28.450001,1,589.349976,0,219,0,404.600006,1,759.48999
2021/9/20,0,151.720001,-1,24.23,1,104.75,1,37.130001,-1,28.34,0,575.429993,0,211.130005,0,400.589996,-1,730.169983
2021/9/21,0,152.470001,1,27.01,0,105.040001,0,37.130001,0,28.209999,-1,573.140015,0,212.460007,0,405.980011,0,739.380005
2021/9/22,0,155.729996,-1,27.059999,-1,109.910004,-1,38.209999,0,29.17,0,590.650024,0,219.410004,0,406.399994,1,751.940002
2021/9/23,0,163,1,28.26,1,111.620003,1,38.419998,0,29.809999,1,593.26001,0,224.820007,0,409.600006,-1,753.640015
2021/9/24,0,156.300003,-1,28.35,0,112.349998,0,39.259998,0,29.93,0,592.390015,-1,220.809998,0,413.940002,0,774.390015
2021/9/27,0,153.589996,1,29.18,-1,116.349998,-1,40.119999,0,30.84,-1,592.640015,0,216.600006,0,391.890015,1,791.359985
2021/9/28,-1,150.630005,-1,28.58,1,115.480003,1,39.830002,0,30.48,0,583.849976,1,206.990005,0,381.579987,0,777.559998
2021/9/29,1,149.809998,1,28.540001,-1,113.400002,0,40.25,1,30.049999,1,599.059998,0,205.169998,-1,387.600006,-1,781.309998
2021/9/30,-1,143.479996,-1,27.65,1,112.279999,-1,40.110001,0,28.299999,0,610.340027,0,207.160004,1,391.420013,1,775.47998
